Jabatan,Kode Unit,Judul Unit,Elemen Kompetensi,Kriteria Unjuk Kerja (KUK),,,,,
Operasional Logistik,H.52LOG00.021.2,Melakukan Pengemasan (Packing),Melaksanakan proses pengemasan,2.1 Barang dimasukkan ke kemasan dengan pelindung. 2.2 Segel keamanan dipasang. 2.3 Tanda instruksi penanganan (fragile/this way up) ditempelkan.,,,,,
Freight Forwarder,H.52LOG00.026.2,Mengelola Pengiriman Barang Internasional,Menentukan rute internasional,1.1 Pelabuhan muat dan bongkar diidentifikasi. 1.2 Jadwal keberangkatan kapal/pesawat dipastikan. 1.3 Biaya freight dan surcharge dikalkulasi.,,,,,
Freight Forwarder,H.52LOG00.026.2,Mengelola Pengiriman Barang Internasional,Mengurus asuransi pengiriman,2.1 Nilai barang yang diasuransikan ditetapkan. 2.2 Polis asuransi diterbitkan sesuai cakupan risiko. 2.3 Dokumen asuransi disertakan dalam bundle pengiriman.,,,,,
Desainer Grafis,M.741000.001.02,Mengaplikasikan Prinsip Dasar Desain,Menentukan sumber informasi pendukung desain,1.1 Sumber informasi diidentifikasi. 1.2 Materi informasi dikumpulkan.,,,,,
Desainer Grafis,M.741000.001.02,Mengaplikasikan Prinsip Dasar Desain,Menerapkan prinsip dasar desain,"2.1 Elemen desain diaplikasikan. 2.2 Prinsip desain (kesatuan, keseimbangan, dll) diterapkan pada karya.",,,,,
Desainer Grafis,M.741000.002.03,Mengoperasikan Perangkat Lunak Desain,Mempersiapkan perangkat lunak desain,1.1 Jenis perangkat lunak dipilih sesuai kebutuhan. 1.2 Perangkat lunak dijalankan sesuai prosedur.,,,,,
Desainer Grafis,M.741000.002.03,Mengoperasikan Perangkat Lunak Desain,Membuat dokumen desain,2.1 Fasilitas perintah dalam software digunakan. 2.2 Objek desain dibuat dan dimodifikasi. 2.3 Dokumen disimpan dengan format yang tepat.,,,,,
Desainer Grafis,M.741000.005.02,Menyusun Background/Latar Belakang,Melakukan riset latar belakang,1.1 Data teknis dan non-teknis dikumpulkan. 1.2 Kompetitor dan target audiens dianalisis.,,,,,
Desainer Grafis,M.741000.005.02,Menyusun Background/Latar Belakang,Merumuskan strategi desain,2.1 Konsep visual ditetapkan. 2.2 Strategi kreatif disusun dalam bentuk narasi/visual.,,,,,
Desainer Grafis,M.741000.006.01,Melaksanakan Penulisan Kreatif (Copywriting),Menciptakan ide penulisan,1.1 Kata kunci diidentifikasi. 1.2 Premis atau ide cerita dikembangkan.,,,,,
Desainer Grafis,M.741000.006.01,Melaksanakan Penulisan Kreatif (Copywriting),Membuat draf tulisan,2.1 Struktur tulisan disusun. 2.2 Gaya bahasa disesuaikan dengan media dan audiens.,,,,,
Desainer Grafis,M.741000.007.01,Melaksanakan Penulisan Teknis (Scriptwriting),Menyusun struktur skrip,1.1 Alur cerita (plot) ditentukan. 1.2 Penulisan adegan dan dialog dilakukan secara teknis.,,,,,
Desainer Grafis,M.741000.008.02,Menetapkan Strategi Desain,Menetapkan kriteria desain,1.1 Batasan proyek diidentifikasi. 1.2 Standar kualitas hasil akhir ditetapkan.,,,,,
Art Director,M.741000.009.02,Mengarahkan Tim Kreatif,Memberikan arahan kreatif,1.1 Brief desain dijelaskan kepada tim. 1.2 Moodboard atau referensi visual diberikan sebagai panduan.,,,,,
Art Director,M.741000.009.02,Mengarahkan Tim Kreatif,Mengevaluasi hasil kerja tim,2.1 Progres pekerjaan dipantau. 2.2 Masukan dan revisi diberikan sesuai standar kualitas.,,,,,
Project Manager,M.741000.010.01,Mengelola Proyek Desain,Melakukan perencanaan proyek,1.1 Alokasi sumber daya manusia ditentukan. 1.2 Timeline dan milestone proyek ditetapkan.,,,,,
Project Manager,M.741000.010.01,Mengelola Proyek Desain,Mengawasi jalannya proyek,2.1 Komunikasi dengan klien dijaga. 2.2 Anggaran proyek dikelola secara efisien.,,,,,
Senior Desainer,M.741000.011.01,Menetapkan Konsep Desain,Mengembangkan ide visual,1.1 Brainstorming dilakukan untuk mencari solusi kreatif. 1.2 Sketsa kasar (thumbnail) dibuat untuk eksplorasi.,,,,,
Senior Desainer,M.741000.011.01,Menetapkan Konsep Desain,Memilih konsep terbaik,2.1 Alternatif konsep dinilai berdasarkan kriteria. 2.2 Konsep final dipilih untuk dikembangkan lebih lanjut.,,,,,
Desainer Grafis,M.741000.012.01,Membuat Purwarupa (Prototyping),Menyiapkan elemen purwarupa,1.1 Komponen visual disiapkan. 1.2 Alat dan bahan untuk prototyping disediakan.,,,,,
Desainer Grafis,M.741000.012.01,Membuat Purwarupa (Prototyping),Menyusun model purwarupa,2.1 Simulasi desain dilakukan. 2.2 Fungsi dan estetika purwarupa diuji coba.,,,,,
Desainer Grafis,M.741000.013.01,Mempresentasikan Karya Desain,Menyiapkan materi presentasi,1.1 Portofolio atau dummy disiapkan. 1.2 Narasi presentasi disusun secara sistematis.,,,,,
Desainer Grafis,M.741000.013.01,Mempresentasikan Karya Desain,Melakukan sesi presentasi,2.1 Keunggulan desain dijelaskan kepada klien. 2.2 Tanggapan atau masukan klien dicatat untuk tindak lanjut.,,,,,
Data Scientist,J.62DDS00.001.1,Menentukan Objek Data,Mengidentifikasi sumber data,1.1 Kebutuhan data diidentifikasi sesuai dengan tujuan bisnis. 1.2 Sumber data internal dan eksternal dipetakan. 1.3 Aksesibilitas data diperiksa.,,,,,
Data Scientist,J.62DDS00.001.1,Menentukan Objek Data,Menelaah karakteristik data,"2.1 Struktur data (terstruktur/tidak) diidentifikasi. 2.2 Volume, velocity, dan variety data dinilai. 2.3 Format data divalidasi.",,,,,
Data Scientist,J.62DDS00.002.1,Memilih Sumber Data,Mengevaluasi kualitas sumber data,1.1 Kredibilitas sumber data diverifikasi. 1.2 Relevansi data terhadap masalah dianalisis. 1.3 Keandalan data dipastikan melalui pengecekan sampel.,,,,,
Data Scientist,J.62DDS00.002.1,Memilih Sumber Data,Menetapkan sumber data terpilih,2.1 Sumber data dipilih berdasarkan kriteria kualitas. 2.2 Izin penggunaan data dikonfirmasi sesuai regulasi privasi.,,,,,
Data Scientist,J.62DDS00.003.1,Mengumpulkan Data,Melaksanakan akuisisi data,1.1 Protokol pengambilan data dijalankan. 1.2 Alat bantu (tools) pengumpulan data dioperasikan. 1.3 Integritas data selama proses transfer dijaga.,,,,,
Data Scientist,J.62DDS00.003.1,Mengumpulkan Data,Mendokumentasikan proses koleksi,2.1 Log pengumpulan data dicatat. 2.2 Metadata dari data yang dikumpulkan disusun secara sistematis.,,,,,
Data Scientist,J.62DDS00.004.1,Menelaah Data,Melakukan inspeksi data,1.1 Statistik deskriptif dasar dihitung. 1.2 Nilai kosong (missing values) diidentifikasi. 1.3 Pencilan (outliers) dipetakan.,,,,,
Data Scientist,J.62DDS00.004.1,Menelaah Data,Memvalidasi kualitas data,2.1 Konsistensi antar atribut data diperiksa. 2.2 Kebenaran tipe data divalidasi sesuai skema.,,,,,
Data Scientist,J.62DDS00.005.1,Membersihkan Data,Menangani data yang tidak lengkap,1.1 Strategi imputasi atau penghapusan missing value ditentukan. 1.2 Proses pembersihan dijalankan sesuai parameter teknis.,,,,,
Data Scientist,J.62DDS00.005.1,Membersihkan Data,Menormalisasi format data,2.1 Duplikasi data dihapus. 2.2 Format penulisan diseragamkan (standarisasi). 2.3 Data yang sudah bersih disimpan dalam repositori antara.,,,,,
Data Scientist,J.62DDS00.006.1,Mengonstruksi Data,Melakukan transformasi data,1.1 Feature engineering dilakukan untuk membuat atribut baru. 1.2 Scaling atau encoding diterapkan pada fitur kategorikal.,,,,,
Data Scientist,J.62DDS00.006.1,Mengonstruksi Data,Menyiapkan dataset final,2.1 Data diintegrasikan dari berbagai sumber. 2.2 Dataset dibagi menjadi data latih (train) dan data uji (test).,,,,,
Data Scientist,J.62DDS00.007.1,Membangun Model,Memilih algoritma pemodelan,1.1 Algoritma yang sesuai (regresi/klasifikasi/klaster) dipilih. 1.2 Library atau framework pemodelan disiapkan.,,,,,
Data Scientist,J.62DDS00.007.1,Membangun Model,Melatih model data,2.1 Hyperparameter diatur sesuai skenario. 2.2 Proses training dijalankan menggunakan data latih. 2.3 Model awal dihasilkan.,,,,,
Data Scientist,J.62DDS00.008.1,Mengevaluasi Hasil Pemodelan,Mengukur performa model,1.1 Metrik evaluasi (akurasi/precision/recall/RMSE) dihitung. 1.2 Confusion matrix atau kurva validasi dianalisis.,,,,,
Data Scientist,J.62DDS00.008.1,Mengevaluasi Hasil Pemodelan,Melakukan validasi model,2.1 Model diuji menggunakan data uji (test set). 2.2 Fenomena overfitting atau underfitting diidentifikasi. 2.3 Perbandingan antar model dilakukan untuk memilih yang terbaik.,,,,,
Data Scientist,J.62DDS00.009.1,Mengomunikasikan Hasil,Membuat visualisasi data,1.1 Grafik atau dashboard interaktif disusun. 1.2 Pesan utama dari hasil analisis divisualisasikan agar mudah dipahami.,,,,,
Data Scientist,J.62DDS00.009.1,Mengomunikasikan Hasil,Menyampaikan temuan kepada stakeholder,2.1 Laporan presentasi disusun sesuai profil audiens. 2.2 Rekomendasi bisnis diberikan berdasarkan hasil pemodelan.,,,,,
Data Scientist,J.62DDS00.010.1,Membuat Laporan Akhir,Menyusun dokumentasi teknis,1.1 Metodologi yang digunakan dicatat secara detail. 1.2 Arsitektur model dan spesifikasi hardware/software didokumentasikan.,,,,,
Data Scientist,J.62DDS00.010.1,Membuat Laporan Akhir,Memfinalisasi laporan proyek,2.1 Executive summary dibuat untuk manajemen. 2.2 Laporan akhir diserahkan sesuai prosedur administrasi organisasi.,,,,,
Data Analyst,M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan kebutuhan bisnis,1.1 Masalah bisnis diidentifikasi. 1.2 Tujuan bisnis ditentukan. 1.3 Kriteria keberhasilan analisis ditetapkan.,,,,,
Data Analyst,M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan ruang lingkup analisis,2.1 Batasan analisis ditentukan. 2.2 Pemangku kepentingan diidentifikasi. 2.3 Rencana kerja analisis disusun.,,,,,
Data Analyst,M.70DAN00.002.1,Menentukan Kebutuhan Data,Mengidentifikasi sumber data,1.1 Jenis data yang dibutuhkan diidentifikasi. 1.2 Sumber data potensial dipetakan. 1.3 Metode perolehan data ditentukan.,,,,,
Data Analyst,M.70DAN00.002.1,Menentukan Kebutuhan Data,Menyusun spesifikasi data,2.1 Format data ditentukan. 2.2 Struktur data didefinisikan. 2.3 Standar kualitas data ditetapkan.,,,,,
Data Analyst,M.70DAN00.003.1,Mengumpulkan Data,Melakukan akuisisi data,1.1 Data dikumpulkan dari sumber primer/sekunder. 1.2 Alat pengumpulan data digunakan sesuai prosedur. 1.3 Integritas data selama pengumpulan dijaga.,,,,,
Data Analyst,M.70DAN00.004.1,Menelaah Data,Melakukan eksplorasi data,1.1 Karakteristik data diidentifikasi. 1.2 Ringkasan statistik data dihitung. 1.3 Pola data awal diidentifikasi.,,,,,
Data Analyst,M.70DAN00.005.1,Membersihkan Data,Menangani kesalahan data,1.1 Data yang duplikat dihapus. 1.2 Data yang hilang (missing values) ditangani. 1.3 Ketidakkonsistenan data diperbaiki.,,,,,
Data Analyst,M.70DAN00.006.1,Mengonstruksi Data,Melakukan transformasi data,1.1 Format data disesuaikan. 1.2 Penggabungan data (merging) dilakukan. 1.3 Feature engineering dasar dilakukan.,,,,,
Data Analyst,M.70DAN00.007.1,Menganalisis Data Menggunakan Statistik,Menerapkan metode statistik,1.1 Metode statistik yang relevan dipilih. 1.2 Uji hipotesis atau korelasi dilakukan. 1.3 Hasil statistik diinterpretasikan.,,,,,
Data Analyst,M.70DAN00.008.1,Menganalisis Data Menggunakan Alat Pemodelan,Membangun model analitik,1.1 Algoritma pemodelan dipilih. 1.2 Model dikembangkan menggunakan tool analitik. 1.3 Validitas model diuji.,,,,,
Data Analyst,M.70DAN00.009.1,Mengevaluasi Hasil Analisis,Melakukan validasi hasil,1.1 Hasil analisis dibandingkan dengan tujuan bisnis. 1.2 Signifikansi hasil dievaluasi. 1.3 Rekomendasi disusun berdasarkan hasil evaluasi.,,,,,
Data Analyst,M.70DAN00.010.1,Melakukan Visualisasi Data,Merancang visualisasi,1.1 Jenis grafik yang tepat dipilih. 1.2 Desain visualisasi dibuat agar informatif. 1.3 Interaktivitas visualisasi (jika perlu) disiapkan.,,,,,
Data Analyst,M.70DAN00.010.1,Melakukan Visualisasi Data,Mengomunikasikan insight,2.1 Narasi data (storytelling) disusun. 2.2 Visualisasi dipresentasikan kepada pemangku kepentingan.,,,,,
Data Analyst,M.70DAN00.011.1,Membuat Laporan Hasil Analisis,Menyusun draf laporan,1.1 Struktur laporan ditentukan. 1.2 Temuan utama dituangkan dalam teks. 1.3 Lampiran data teknis disiapkan.,,,,,
Data Analyst,M.70DAN00.012.1,Mengelola Keamanan dan Privasi Data,Menerapkan proteksi data,1.1 Akses data dibatasi sesuai kewenangan. 1.2 Teknik anonimisasi data diterapkan pada data sensitif.,,,,,
Data Analyst,M.70DAN00.013.1,Melakukan Penjaminan Kualitas Analisis,Memeriksa proses analisis,1.1 Setiap tahapan analisis diverifikasi. 1.2 Dokumentasi kode dan metodologi diperiksa.,,,,,
Data Analyst,M.70DAN00.014.1,Memberikan Dukungan Pengambilan Keputusan,Menyajikan opsi keputusan,1.1 Berbagai skenario hasil analisis disajikan. 1.2 Risiko dan peluang dari setiap opsi dijelaskan.,,,,,
Data Analyst,M.70DAN00.008.1,Menganalisis Data Menggunakan Alat Pemodelan,Mengoptimasi model,2.1 Parameter model disesuaikan (tuning). 2.2 Perbandingan akurasi antar model dilakukan.,,,,,
Data Analyst,M.70DAN00.005.1,Membersihkan Data,Mendokumentasikan pembersihan,2.1 Langkah-langkah pembersihan dicatat. 2.2 Alasan penghapusan atau perubahan data diberikan secara transparan.,,,,,
Data Analyst,M.70DAN00.009.1,Mengevaluasi Hasil Analisis,Menelaah dampak bisnis,2.1 Perkiraan dampak finansial atau operasional dihitung. 2.2 Hambatan implementasi hasil analisis dipetakan.,,,,,
Security Analyst,J.620900.001.03,Menyusun Rancangan Pengamanan Informasi,Menentukan parameter keamanan,1.1 Kebutuhan keamanan informasi diidentifikasi sesuai kebijakan. 1.2 Aset informasi yang perlu dilindungi dipetakan. 1.3 Tingkat risiko keamanan dievaluasi.,,,,,
Security Analyst,J.620900.001.03,Menyusun Rancangan Pengamanan Informasi,Merancang arsitektur keamanan,2.1 Kontrol keamanan informasi dipilih. 2.2 Topologi jaringan yang aman dirancang. 2.3 Standar operasional prosedur (SOP) pengamanan disusun.,,,,,
Security Engineer,J.620900.002.03,Mengoperasikan Piranti Lunak Keamanan,Menyiapkan instalasi piranti lunak,1.1 Persyaratan sistem piranti lunak keamanan diperiksa. 1.2 Prosedur instalasi diidentifikasi sesuai panduan vendor.,,,,,
Security Engineer,J.620900.002.03,Mengoperasikan Piranti Lunak Keamanan,Melakukan konfigurasi piranti lunak,2.1 Parameter keamanan diatur sesuai rancangan. 2.2 Aturan (rules) keamanan diaktifkan. 2.3 Konektivitas piranti lunak ke jaringan dipastikan berjalan.,,,,,
System Administrator,J.620900.004.03,Melakukan Pengaturan Akses Keamanan,Menetapkan kebijakan akses,1.1 Profil pengguna dan hak akses diidentifikasi. 1.2 Metode autentikasi dipilih (password/biometrik/MFA). 1.3 Batasan akses ditentukan berdasarkan prinsip least privilege.,,,,,
System Administrator,J.620900.004.03,Melakukan Pengaturan Akses Keamanan,Mengelola akun pengguna,2.1 Akun pengguna dibuat dan dihapus sesuai siklus hidup pegawai. 2.2 Perubahan hak akses didokumentasikan dan disetujui.,,,,,
Incident Responder,J.620900.008.03,Menangani Insiden Keamanan,Melakukan deteksi dini insiden,1.1 Anomali pada sistem diidentifikasi melalui log. 1.2 Peringatan dari sistem pemantauan dianalisis tingkat urgensinya.,,,,,
Incident Responder,J.620900.008.03,Menangani Insiden Keamanan,Melakukan tindakan respons,2.1 Prosedur isolasi sistem yang terinfeksi dijalankan. 2.2 Langkah-langkah mitigasi untuk menghentikan penyebaran serangan dilakukan. 2.3 Upaya pemulihan data dan sistem dilaksanakan.,,,,,
Vulnerability Researcher,J.620900.009.03,Melakukan Pemindaian Kerentanan,Merencanakan pemindaian,1.1 Objek yang akan dipindai ditentukan. 1.2 Alat bantu pemindaian (vulnerability scanner) disiapkan. 1.3 Jadwal pemindaian ditetapkan agar tidak mengganggu operasional.,,,,,
Vulnerability Researcher,J.620900.009.03,Melakukan Pemindaian Kerentanan,Menganalisis hasil pemindaian,2.1 Daftar celah keamanan (CVE) diklasifikasikan berdasarkan tingkat bahaya. 2.2 Rekomendasi penambalan (patching) disusun bagi tim teknis.,,,,,
Security Auditor,J.620900.012.03,Melakukan Audit Keamanan Informasi Internal,Menyiapkan instrumen audit,1.1 Kriteria audit ditetapkan berdasarkan standar ISO/IEC 27001. 1.2 Daftar periksa (checklist) audit dikembangkan. 1.3 Tim auditor dan jadwal wawancara ditentukan.,,,,,
Security Auditor,J.620900.012.03,Melakukan Audit Keamanan Informasi Internal,Melaksanakan verifikasi kepatuhan,2.1 Bukti-bukti penerapan kontrol keamanan diperiksa. 2.2 Temuan ketidaksesuaian dicatat. 2.3 Laporan hasil audit internal disusun untuk manajemen.,,,,,
Forensic Analyst,J.620900.015.02,Melakukan Akuisisi Data Digital,Mengamankan barang bukti,1.1 Perangkat media penyimpanan diamankan secara fisik. 1.2 Rantai pengawasan (chain of custody) didokumentasikan.,,,,,
Forensic Analyst,J.620900.015.02,Melakukan Akuisisi Data Digital,Melakukan penggandaan bit-per-bit,2.1 Media penyimpanan dikloning menggunakan alat forensik. 2.2 Nilai hash dihitung untuk menjamin integritas data asli.,,,,,
Security Officer,J.620900.019.02,Memberikan Sosialisasi Keamanan,Menyusun materi kesadaran keamanan,"1.1 Materi edukasi (phishing, password, sosial engineering) disiapkan. 1.2 Media sosialisasi (infografis/video/poster) dibuat menarik.",,,,,
Security Officer,J.620900.019.02,Memberikan Sosialisasi Keamanan,Mengevaluasi efektivitas sosialisasi,2.1 Survei pemahaman peserta dilakukan setelah sesi. 2.2 Penurunan jumlah insiden akibat faktor manusia diukur secara berkala.,,,,,
Risk Manager,J.620900.021.02,Melakukan Analisis Risiko Keamanan,Mengidentifikasi ancaman dan dampak,1.1 Sumber ancaman (hacker/alam/internal) dipetakan. 1.2 Estimasi kerugian finansial atau reputasi dihitung jika risiko terjadi.,,,,,
Risk Manager,J.620900.021.02,Melakukan Analisis Risiko Keamanan,Menentukan opsi mitigasi risiko,2.1 Strategi penanganan (mitigasi/transfer/hindari/terima) dipilih. 2.2 Rencana aksi penanganan risiko disusun sesuai prioritas.,,,,,
Network Security,J.620900.023.01,Melakukan Konfigurasi Tembok Api (Firewall),Menentukan aturan lalu lintas data,1.1 Port dan protokol yang diizinkan diidentifikasi. 1.2 Daftar alamat IP pengirim dan penerima yang sah ditentukan.,,,,,
Network Security,J.620900.023.01,Melakukan Konfigurasi Tembok Api (Firewall),Memantau kinerja firewall,2.1 Log akses diperiksa untuk mendeteksi upaya penyusupan. 2.2 Aturan firewall diperbarui secara berkala sesuai kebutuhan bisnis.,,,,,
Security Engineer,J.620900.021.01,Melakukan Konfigurasi Sistem Deteksi Intrusi (Intrusion Detection System),Menyiapkan komponen sistem deteksi,1.1 Perangkat keras dan lunak IDS dipastikan siap beroperasi. 1.2 Topologi penempatan sensor IDS ditentukan sesuai titik rawan jaringan. 1.3 Akses administratif ke sistem IDS dikonfigurasi secara aman.,,,,,
Security Engineer,J.620900.021.01,Melakukan Konfigurasi Sistem Deteksi Intrusi (Intrusion Detection System),Mengelola aturan (signature) deteksi,2.1 Database tanda serangan (signature) diperbarui ke versi terbaru. 2.2 Aturan deteksi (rules) disesuaikan dengan profil trafik normal jaringan. 2.3 Sistem notifikasi/alert diuji coba untuk memastikan pesan peringatan sampai ke administrator.,,,,,
Cyber Security Specialist,J.620900.022.01,Melakukan Pengujian Keamanan Jaringan (Network Security Testing),Melakukan persiapan pengujian,1.1 Ruang lingkup dan batasan pengujian (rules of engagement) disepakati. 1.2 Alat uji keamanan jaringan (seperti port scanner/sniffer) disiapkan.,,,,,
Cyber Security Specialist,J.620900.022.01,Melakukan Pengujian Keamanan Jaringan (Network Security Testing),Mengeksekusi pengujian dan pelaporan,2.1 Celah keamanan pada protokol jaringan diidentifikasi melalui simulasi serangan. 2.2 Ketahanan tembok api (firewall) dan sistem deteksi diuji. 2.3 Laporan teknis hasil pengujian dan saran mitigasi disusun.,,,,,
Sales Operation,M.70MKT00.001.1,Melaksanakan Penjualan Produk,Mempersiapkan proses penjualan,1.1 Pengetahuan produk dikuasai. 1.2 Target penjualan dipahami. 1.3 Alat pendukung penjualan disiapkan.,,,,,
Sales Operation,M.70MKT00.001.1,Melaksanakan Penjualan Produk,Melakukan aktivitas penjualan,2.1 Prospek pelanggan diidentifikasi. 2.2 Pendekatan kepada pelanggan dilakukan. 2.3 Presentasi produk dilaksanakan sesuai prosedur.,,,,,
Sales Operation,M.70MKT00.002.1,Menangani Keberatan Pelanggan,Mengidentifikasi keberatan pelanggan,1.1 Keluhan atau keberatan pelanggan didengarkan dengan seksama. 1.2 Jenis keberatan diklasifikasikan.,,,,,
Sales Operation,M.70MKT00.002.1,Menangani Keberatan Pelanggan,Memberikan solusi atas keberatan,2.1 Penjelasan teknis diberikan untuk menjawab keberatan. 2.2 Kesepakatan solusi dicapai dengan pelanggan.,,,,,
Market Research,M.70MKT00.005.1,Melakukan Riset Pemasaran,Menentukan desain riset,1.1 Masalah pemasaran didefinisikan. 1.2 Tujuan riset ditetapkan. 1.3 Metode pengumpulan data ditentukan.,,,,,
Market Research,M.70MKT00.005.1,Melakukan Riset Pemasaran,Melaksanakan pengolahan data riset,2.1 Data lapangan dikumpulkan. 2.2 Data diolah menggunakan alat statistik. 2.3 Hasil analisis data diinterpretasikan menjadi informasi pemasaran.,,,,,
Brand Management,M.70MKT00.007.1,Mengelola Ekuitas Merek,Memantau performa merek,1.1 Kesadaran merek (brand awareness) diukur. 1.2 Persepsi kualitas merek dianalisis.,,,,,
Brand Management,M.70MKT00.007.1,Mengelola Ekuitas Merek,Melakukan penguatan ekuitas merek,2.1 Program loyalitas merek dirancang. 2.2 Asosiasi merek diperkuat melalui komunikasi pemasaran terpadu.,,,,,
Digital Marketing,M.70MKT00.009.1,Melakukan Pemasaran Digital,Merencanakan konten digital,1.1 Platform digital dipilih sesuai target audiens. 1.2 Kalender konten disusun. 1.3 Materi kreatif disiapkan.,,,,,
Digital Marketing,M.70MKT00.009.1,Melakukan Pemasaran Digital,Mengevaluasi kampanye digital,"2.1 Metrik performa (CTR, Engagement) dipantau. 2.2 Efektivitas kanal digital dibandingkan.",,,,,
Customer Service,M.70MKT00.012.1,Memberikan Layanan Prima,Membangun hubungan dengan pelanggan,1.1 Komunikasi dilakukan secara empati. 1.2 Kebutuhan pelanggan diidentifikasi dengan cepat.,,,,,
Customer Service,M.70MKT00.012.1,Memberikan Layanan Prima,Mengukur kepuasan pelanggan,2.1 Umpan balik pelanggan dikumpulkan. 2.2 Indeks kepuasan pelanggan dihitung.,,,,,
Product Development,M.70MKT00.015.1,Mengembangkan Produk Baru,Menemukan ide produk,1.1 Kesenjangan pasar diidentifikasi. 1.2 Konsep produk baru dirumuskan.,,,,,
Product Development,M.70MKT00.015.1,Mengembangkan Produk Baru,Melakukan uji coba pasar,2.1 Purwarupa produk diuji kepada kelompok terbatas. 2.2 Respon pasar dianalisis untuk penyempurnaan produk.,,,,,
Sales Management,M.70MKT00.018.1,Mengelola Tenaga Penjual,Merancang struktur organisasi penjualan,1.1 Alokasi wilayah penjualan ditentukan. 1.2 Kuota dan target per individu ditetapkan.,,,,,
Sales Management,M.70MKT00.018.1,Mengelola Tenaga Penjual,Melakukan pembinaan tenaga penjual,2.1 Pelatihan teknik penjualan diberikan. 2.2 Motivasi dan insentif diatur untuk mencapai target.,,,,,
Strategic Marketing,M.70MKT00.021.1,Menyusun Rencana Pemasaran,Menganalisis situasi pasar,1.1 Analisis SWOT dilakukan. 1.2 Analisis kompetitor dipetakan.,,,,,
Strategic Marketing,M.70MKT00.021.1,Menyusun Rencana Pemasaran,Menentukan strategi pemasaran,"2.1 STP (Segmenting, Targeting, Positioning) ditetapkan. 2.2 Bauran pemasaran (Marketing Mix) dirumuskan.",,,,,
Pricing Management,M.70MKT00.025.1,Menetapkan Harga Jual,Menganalisis biaya dan harga pesaing,1.1 Struktur biaya produksi diidentifikasi. 1.2 Harga pasar untuk produk sejenis dipantau.,,,,,
Pricing Management,M.70MKT00.025.1,Menetapkan Harga Jual,Menentukan metode penetapan harga,2.1 Strategi harga (skimming/penetration) dipilih. 2.2 Daftar harga final diterbitkan sesuai kebijakan perusahaan.,,,,,
Trade Marketing,M.70MKT00.026.1,Mengelola Saluran Distribusi,Menentukan jenis saluran distribusi,1.1 Kriteria pemilihan perantara distribusi ditetapkan. 1.2 Cakupan pasar dianalisis. 1.3 Struktur saluran distribusi dirancang.,,,,,
Trade Marketing,M.70MKT00.026.1,Mengelola Saluran Distribusi,Mengevaluasi kinerja anggota saluran,2.1 Target penjualan per saluran dipantau. 2.2 Konflik antar saluran diidentifikasi dan diselesaikan. 2.3 Standar pelayanan distribusi diperiksa.,,,,,
Marketing Comm.,M.70MKT00.027.1,Mengelola Komunikasi Pemasaran Terpadu,Merumuskan bauran promosi,"1.1 Tujuan komunikasi pemasaran ditetapkan. 1.2 Media promosi (iklan, PR, medsos) dipilih. 1.3 Anggaran promosi dialokasikan.",,,,,
Marketing Comm.,M.70MKT00.027.1,Mengelola Komunikasi Pemasaran Terpadu,Mengukur efektivitas komunikasi,2.1 Jangkauan (reach) dan frekuensi kampanye diukur. 2.2 Perubahan persepsi konsumen setelah kampanye dianalisis.,,,,,
CRM Specialist,M.70MKT00.028.1,Mengelola Manajemen Hubungan Pelanggan (CRM),Membangun database pelanggan,1.1 Data profil pelanggan dikumpulkan. 1.2 Sistem pengelolaan data (software CRM) dioperasikan. 1.3 Segmentasi pelanggan berdasarkan nilai (LTV) dibuat.,,,,,
CRM Specialist,M.70MKT00.028.1,Mengelola Manajemen Hubungan Pelanggan (CRM),Menjalankan program retensi,2.1 Strategi komunikasi personal dikembangkan. 2.2 Program penghargaan loyalitas dilaksanakan. 2.3 Tingkat peralihan pelanggan (churn rate) dipantau.,,,,,
Events & Promo,M.70MKT00.029.1,Mengelola Aktivitas Promosi Penjualan,Merancang mekanisme promosi,"1.1 Jenis promosi (diskon, kupon, bundling) ditentukan. 1.2 Periode dan batasan promosi ditetapkan.",,,,,
Events & Promo,M.70MKT00.029.1,Mengelola Aktivitas Promosi Penjualan,Mengawasi pelaksanaan promosi,2.1 Ketersediaan stok barang promosi dipastikan. 2.2 Dampak promosi terhadap volume penjualan dianalisis.,,,,,
Sales Analyst,M.70MKT00.030.1,Melakukan Analisis Penjualan,Mengolah data penjualan harian,1.1 Data penjualan divalidasi keakuratannya. 1.2 Laporan tren penjualan harian dan mingguan disusun.,,,,,
Sales Analyst,M.70MKT00.030.1,Melakukan Analisis Penjualan,Memberikan rekomendasi peningkatan,2.1 Kesenjangan antara target dan realisasi dianalisis. 2.2 Usulan perbaikan strategi penjualan diajukan kepada manajemen.,,,,,
Business Dev.,M.70MKT00.031.1,Melakukan Analisis Peluang Bisnis Baru,Mencari potensi pasar baru,1.1 Tren industri dan teknologi diidentifikasi. 1.2 Kelayakan ekspansi pasar dianalisis secara finansial.,,,,,
Business Dev.,M.70MKT00.032.1,Menyusun Strategi Kemitraan Bisnis,Menentukan mitra strategis,1.1 Kriteria calon mitra bisnis ditetapkan. 1.2 Profil dan reputasi calon mitra diverifikasi. 1.3 Bentuk kerja sama (MoU/PKS) dirumuskan.,,,,,
